CET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2015-10-1,27,18,9,12,10,6,94,59,20,1024,1022,1018,31,19,10,16,2,,0.00,1,,259
2015-10-2,28,18,9,12,9,6,94,55,17,1023,1019,1014,31,19,10,19,3,,0.00,1,,246
2015-10-3,27,21,15,14,11,3,88,56,18,1020,1017,1014,31,19,10,21,3,,0.00,5,Lluvia,261
2015-10-4,29,21,12,16,13,11,100,59,28,1024,1022,1018,31,14,10,16,5,,0.00,4,,252
2015-10-5,24,20,17,18,16,14,94,74,51,1025,1022,1018,27,13,6,16,5,,0.25,4,Lluvia,264
2015-10-6,24,18,12,16,14,12,100,75,40,1021,1019,1015,31,13,3,19,5,,0.00,3,Lluvia,261
2015-10-7,25,17,9,13,10,7,100,63,23,1020,1017,1013,31,14,10,14,3,,0.00,2,,263
2015-10-8,24,17,10,13,11,8,94,63,24,1017,1016,1014,31,16,10,14,3,,0.00,3,,238
2015-10-9,27,19,10,12,11,9,94,60,26,1016,1014,1010,31,15,10,23,3,,0.00,1,,211
2015-10-10,26,17,8,12,9,5,100,60,19,1014,1012,1007,31,16,6,19,3,,0.00,2,,235
2015-10-11,23,19,14,16,15,11,100,81,51,1012,1010,1007,31,16,10,21,3,,0.51,4,Lluvia,252
2015-10-12,25,19,13,17,14,12,100,81,43,1014,1012,1009,31,13,3,24,5,,1.02,6,Lluvia,231
2015-10-13,25,17,9,15,12,9,100,77,33,1015,1013,1009,31,16,10,24,3,,0.51,3,Lluvia,273
2015-10-14,26,19,12,14,13,11,100,71,31,1015,1013,1009,31,15,8,23,3,,0.00,3,,280
2015-10-15,26,17,8,12,10,7,100,65,21,1016,1015,1011,31,16,8,13,3,,0.00,1,,278
2015-10-16,27,18,8,12,11,8,100,62,22,1017,1015,1011,31,15,10,16,3,,0.00,1,,242
2015-10-17,27,18,9,15,12,8,97,71,24,1015,1013,1008,31,14,8,26,3,,0.51,5,Lluvia,216
2015-10-18,25,19,12,17,13,11,100,74,36,1014,1012,1008,31,13,3,24,5,32,17.02,4,Lluvia-Tormenta,230
2015-10-19,23,18,12,16,14,12,100,81,44,1012,1010,1008,31,17,8,16,6,,7.87,4,Lluvia,159
2015-10-20,24,19,13,15,13,11,98,75,34,1017,1013,1010,31,17,10,32,6,,0.76,5,Lluvia-Tormenta,206
2015-10-21,24,18,12,15,11,3,100,70,20,1020,1017,1013,31,14,0,21,5,,0.76,3,Niebla-Lluvia-Tormenta,312
2015-10-22,24,14,4,10,7,4,100,64,19,1024,1021,1018,31,30,21,10,2,,0.00,,,237
2015-10-23,26,17,7,13,8,0,100,62,13,1023,1020,1015,31,19,10,13,3,,0.00,1,,195
2015-10-24,20,16,12,13,11,7,100,74,36,1021,1019,1016,31,17,10,10,2,,0.00,5,,162
2015-10-25,22,16,11,13,11,9,96,68,33,1021,1019,1015,31,14,10,8,2,,0.00,2,,130
2015-10-26,19,16,13,16,14,12,100,93,71,1017,1015,1013,31,12,3,13,3,,7.87,5,Lluvia,112
2015-10-27,19,14,9,14,12,9,100,92,60,1020,1017,1015,31,12,2,24,6,,3.05,5,Lluvia,262
2015-10-28,19,13,8,12,9,8,100,80,42,1024,1021,1019,31,15,6,19,5,,0.00,3,,277
2015-10-29,23,14,5,13,9,5,100,75,29,1025,1021,1016,31,20,6,10,2,,0.00,1,,0
2015-10-30,25,16,7,13,11,7,100,72,28,1021,1018,1014,31,19,10,21,5,,0.00,1,,154
2015-10-31,24,16,8,13,12,8,100,75,37,1021,1019,1015,31,13,3,16,3,,0.00,2,,178
